query,location,pages,target_names
"email contact (@gmail.com OR @libero.it OR @yahoo.it)",Milano,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email contact (@gmail.com OR @libero.it OR @yahoo.it)",Roma,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email contact (@gmail.com OR @libero.it OR @yahoo.it)",Napoli,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email contact (@gmail.com OR @libero.it OR @yahoo.it)",Torino,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email contact (@gmail.com OR @libero.it OR @yahoo.it)",Bologna,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email contatto (@gmail.com OR @libero.it OR @yahoo.it)",Milano,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"email contatto (@gmail.com OR @libero.it OR @yahoo.it)",Roma,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"email contatto (@gmail.com OR @libero.it OR @yahoo.it)",Napoli,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"email contatto (@gmail.com OR @libero.it OR @yahoo.it)",Torino,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"email contatto (@gmail.com OR @libero.it OR @yahoo.it)",Bologna,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"contatti email (@gmail.com OR @tiscali.it OR @alice.it)",Milano,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"contatti email (@gmail.com OR @tiscali.it OR @alice.it)",Roma,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"contatti email (@gmail.com OR @tiscali.it OR @alice.it)",Napoli,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"contatti email (@gmail.com OR @tiscali.it OR @alice.it)",Torino,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"contatti email (@gmail.com OR @tiscali.it OR @alice.it)",Bologna,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"contatti email (@gmail.com OR @tiscali.it OR @alice.it)",Firenze,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"contatti email (@gmail.com OR @tiscali.it OR @alice.it)",Venezia,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"contatti email (@gmail.com OR @tiscali.it OR @alice.it)",Genova,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"email professionali (@gmail.com OR @outlook.com OR @hotmail.com)",Milano,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email professionali (@gmail.com OR @outlook.com OR @hotmail.com)",Roma,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email professionali (@gmail.com OR @outlook.com OR @hotmail.com)",Napoli,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email professionali (@gmail.com OR @outlook.com OR @hotmail.com)",Torino,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email professionali (@gmail.com OR @outlook.com OR @hotmail.com)",Bologna,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email professionali (@gmail.com OR @outlook.com OR @hotmail.com)",Firenze,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"email professionali (@gmail.com OR @outlook.com OR @hotmail.com)",Venezia,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"contatto email (@gmail.com OR @libero.it OR @yahoo.it)",Milano,3,"JESSICA|LAURA|MARTINA|SIMONA|ROBERTA|DANIELA|BARBARA|MONICA|SABRINA|ALESSANDRA"
"contatto email (@gmail.com OR @libero.it OR @yahoo.it)",Roma,3,"JESSICA|LAURA|MARTINA|SIMONA|ROBERTA|DANIELA|BARBARA|MONICA|SABRINA|ALESSANDRA"
"contatto email (@gmail.com OR @libero.it OR @yahoo.it)",Napoli,3,"JESSICA|LAURA|MARTINA|SIMONA|ROBERTA|DANIELA|BARBARA|MONICA|SABRINA|ALESSANDRA"
"contatto email (@gmail.com OR @libero.it OR @yahoo.it)",Torino,3,"JESSICA|LAURA|MARTINA|SIMONA|ROBERTA|DANIELA|BARBARA|MONICA|SABRINA|ALESSANDRA"
"contatto email (@gmail.com OR @libero.it OR @yahoo.it)",Bologna,3,"JESSICA|LAURA|MARTINA|SIMONA|ROBERTA|DANIELA|BARBARA|MONICA|SABRINA|ALESSANDRA"
"email address (@gmail.com OR @tiscali.it OR @alice.it)",Milano,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email address (@gmail.com OR @tiscali.it OR @alice.it)",Roma,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email address (@gmail.com OR @tiscali.it OR @alice.it)",Napoli,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email address (@gmail.com OR @tiscali.it OR @alice.it)",Torino,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"email directory (@gmail.com OR @outlook.com OR @hotmail.com)",Milano,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"email directory (@gmail.com OR @outlook.com OR @hotmail.com)",Roma,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
